session,time,distance,per,hand,num,audio,ide,label
1552,53,0.856020,0.538462,0.510407,18.076923,0.548573,1,0
1553,53,1.294250,0.942308,0.945247,16.096154,1.404692,2,0
1554,53,1.266581,0.961538,0.672268,15.903846,1.023435,5,0
1555,53,1.238911,0.980769,0.399288,15.711538,0.642178,2,0
1556,53,1.211242,1.000000,0.126309,15.519231,0.260921,2,0
1557,53,0.442974,0.429737,0.342974,0.342974,0.342974,3,0
1572,53,0.448129,0.615385,0.639562,17.769231,1.106887,2,0
1573,53,0.453284,0.725609,0.611405,10.084948,0.957285,2,0
1578,53,0.458440,0.538462,0.705153,9.184630,1.104903,4,0
1583,53,0.463595,0.942308,0.798902,8.284312,1.252520,2,0
1589,53,0.468750,0.961538,0.892650,7.383994,1.400138,2,0
1594,53,0.473906,0.980769,0.986399,6.483676,1.547756,5,0
1599,53,0.379061,1.000000,1.080147,5.583358,1.695374,2,0
1604,53,0.384216,0.342974,1.173896,4.683040,1.842992,2,0
1609,53,0.389371,0.346154,1.267644,3.782722,1.990610,2,0
1615,53,0.394527,0.272561,1.361393,2.882404,2.138228,2,0
1620,53,0.399682,0.346154,1.455142,1.982086,2.285846,2,0
1625,53,0.404837,0.027256,1.548890,1.081768,2.433464,2,0
1630,53,0.409993,0.346154,1.642639,0.181450,2.581082,2,0
1635,53,0.615148,0.272561,1.736387,-0.718868,2.728699,2,0
1498,53,0.203033,0.027256,1.736387,14.677225,25.776607,5,1
1514,53,0.342974,0.310897,0.001454,14.757164,21.741148,5,1
1530,53,0.348129,0.224359,0.153035,14.837104,17.705689,4,1
1546,53,0.353284,0.137821,0.304616,14.917044,13.670230,3,1
1562,53,0.358440,0.923077,0.456196,14.996983,9.634771,5,1
1578,53,0.358440,1.003205,0.607777,15.076923,5.599313,3,1
1594,53,0.361877,0.916667,0.759358,15.156863,1.563854,5,1
1595,53,0.364454,0.830128,0.154393,16.038462,0.459104,5,1
1606,53,0.367032,0.743590,0.053791,16.385621,-2.599452,6,1
1615,53,0.369609,0.657051,0.304616,16.866390,-5.169556,7,1
1623,53,0.372187,0.570513,0.456196,17.347159,-7.739660,8,1
1632,53,0.374765,0.483974,0.607777,17.827929,-10.309764,9,1
1640,53,0.377342,0.397436,0.759358,18.308698,-12.879869,4,1
1649,53,0.379920,0.310897,0.154393,18.789467,-15.449973,3,1
1657,53,0.382498,0.224359,0.053791,19.270236,-18.020077,4,1
1666,53,0.385075,0.137821,0.154393,19.751006,-20.590181,4,1
