session,time,distance,per,hand,num,audio,ide,label
1572,53,0.85577,0.721962,0.528255,16.809016,-17.980582,3,1
1541,53,0.897912,1.003205,1.736387,-0.718868,1.005728,3,0
1550,53,0.289994,0.734918,0.606439,16.263409,-19.586522,6,1
1579,53,0.334293,0.661441,0.677022,18.734458,-13.752508,5,1
1500,53,0.673802,1.003205,0.940596,0.547947,1.89556,3,0
1561,53,0.443631,0.52841,0.704778,19.751006,1.478254,3,1
1498,53,1.132311,1.003205,1.54297,-0.094432,0.160127,3,0
1606,53,0.380414,0.6641,0.509975,15.454325,-11.510083,3,1
1499,53,0.332546,0.748156,0.375307,16.4578,-7.605975,9,1
1530,53,0.885235,0.586957,0.807049,16.950904,-0.230989,9,1
1535,53,0.287256,0.493817,0.545272,17.688513,-4.744263,6,1
1526,53,0.373909,0.772531,0.751205,18.255242,-20.590181,6,1
1551,53,0.253995,0.752861,0.3989,16.696475,-7.711763,3,1
1566,53,0.402991,0.726617,0.424834,16.090125,1.146131,3,1
1620,53,0.385841,0.574698,0.643319,15.709972,-10.975128,9,1
1578,53,1.183104,0.704354,0.636317,17.400197,-20.590181,3,1
1543,53,0.980944,0.601758,0.626212,15.33274,1.860796,9,1
1517,53,0.307766,0.797027,0.584926,16.420862,0.221757,3,0
1612,53,0.307573,0.742711,0.409139,15.344212,-11.263132,9,1
1554,53,0.367649,0.630449,0.775248,18.575366,-0.755073,9,0
1566,53,0.302039,0.856555,0.498383,16.801885,-20.590181,3,1
1578,53,0.285892,0.802132,0.541758,16.716747,1.494446,3,0
1585,53,0.283483,0.768517,0.760338,17.401653,-11.144738,3,1
1498,53,1.29282,0.68157,1.003956,5.075948,3.209846,3,0
1595,53,0.367347,0.797242,0.91516,18.839625,-7.858562,3,1
1583,53,0.311806,0.723781,0.738269,17.276786,-14.877714,9,1
1578,53,0.307208,0.600185,0.84888,18.520971,-6.964284,3,1
1541,53,0.384065,0.759223,0.694906,18.187179,-18.317445,3,1
1542,53,0.663474,0.874939,0.636649,17.78774,-12.345658,6,1
1579,53,0.376157,1.003205,1.055334,14.574066,0.578564,3,0
1508,53,0.328566,0.735065,0.870018,17.167953,-0.029036,3,1
1544,53,0.298671,0.499292,0.789285,17.748615,-11.666991,3,0
1536,53,0.462661,0.596177,0.85467,16.548457,-14.194106,9,1
1578,53,0.325899,0.776801,0.672303,16.83342,1.516306,9,1
1584,53,0.364752,0.662796,0.678744,11.807175,1.553328,6,0
1596,53,0.730224,1.003205,1.171843,15.774631,-16.534533,6,1
1570,53,0.904217,0.819128,0.528577,15.692473,-11.604509,9,1
1554,53,0.310394,1.003205,0.734398,16.208022,-3.484014,9,1
1605,53,0.306791,1.003205,0.981471,17.624916,-0.203148,9,1
1590,53,0.839097,1.003205,0.325994,17.642376,11.178061,3,1
1564,53,0.634957,1.003205,0.298574,18.407905,0.912946,9,0
1516,53,0.322542,0.802413,0.697003,16.563395,16.328326,3,1
1575,53,0.380541,1.003205,0.609578,16.650773,-13.474721,9,1
1575,53,0.561711,0.931515,0.686709,19.751006,0.528389,6,1
1551,53,0.340122,0.719386,0.544757,16.148386,-0.036713,5,1
1531,53,0.324512,0.754155,0.431633,14.895925,-12.087614,9,1
1551,53,0.497303,0.763179,0.546218,16.229298,-19.911362,9,1
1565,53,0.339517,0.681546,0.741396,17.161834,-20.590181,9,1
1598,53,0.356048,0.689997,0.576989,17.468964,-20.590181,3,1
1556,53,0.40649,0.650069,0.55811,15.30363,1.556985,3,1
1605,53,0.377962,0.665135,0.408641,16.123091,-18.011231,6,1
1588,53,0.367029,0.707427,0.659206,16.820786,-19.793718,3,1
1565,53,0.363855,0.63597,0.430842,13.882733,-16.144047,6,1
1548,53,0.803303,0.704534,0.923143,17.357822,-9.353791,6,1
1545,53,0.290914,0.997018,0.976795,19.574574,-8.439545,6,1
1544,53,1.287051,1.003205,0.64338,15.880934,1.280143,3,0
1544,53,0.35611,0.862664,0.7138,15.264834,-7.485915,6,1
1610,53,0.292272,0.71321,0.543181,17.125675,-7.765411,9,1
1595,53,0.341264,0.559416,0.711518,15.962515,-0.378308,4,1
1526,53,0.310236,0.569611,1.736387,4.609199,0.471479,3,0
1562,53,0.949141,0.750119,0.620329,17.388928,-0.34197,9,1
1538,53,0.619768,1.003205,0.393184,19.047655,-18.41983,5,1
1547,53,0.327628,0.593088,0.763006,16.503771,-2.302561,7,1
1509,53,0.799784,1.003205,0.674774,17.065076,-16.056913,6,1
1525,53,0.393272,1.003205,0.52949,18.107057,-8.533112,6,1
1567,53,0.354378,0.844157,1.021399,16.914842,0.684736,6,0
1593,53,0.323181,0.806058,0.839825,16.2762,-20.590181,9,1
1579,53,1.011163,0.906463,1.736387,3.35055,2.891727,3,0
1611,53,0.365565,0.732964,0.485276,16.078131,-9.875874,9,1
1580,53,0.393102,0.692543,0.775929,18.279515,-20.590181,6,1
1548,53,0.32911,1.003205,0.725951,17.826926,-4.956884,5,1
1515,53,0.338748,0.671557,0.228427,14.040091,11.863096,9,1
1547,53,0.607437,0.715494,0.740982,16.019357,-12.278495,7,0
1578,53,0.312327,0.673339,0.549727,15.305231,1.775247,3,0
1545,53,0.279095,1.003205,0.415297,17.177232,1.275049,9,1
1526,53,0.334263,0.56699,0.824922,14.519538,2.241362,3,0
1536,53,0.29185,0.829841,0.428294,18.277054,-18.67017,4,1
1544,53,0.344372,0.832534,0.586687,17.88775,-3.889889,6,1
1622,53,0.713437,0.384824,0.16968,17.309087,0.771,9,0
1498,53,0.356557,0.725563,0.554723,17.636498,0.273086,6,1
