session,time,distance,per,hand,num,audio,ide,label
1552,53,0.856020,0.538462,0.510407,18.076923,0.548573,1,0
1553,53,1.294250,0.942308,0.945247,16.096154,1.404692,2,0
1554,53,1.266581,0.961538,0.672268,15.903846,1.023435,5,0
1555,53,1.238911,0.980769,0.399288,15.711538,0.642178,2,0
1556,53,1.211242,1.000000,0.126309,15.519231,0.260921,2,0
1557,53,0.342974,0.342974,0.342974,0.342974,0.342974,3,0
1572,53,0.348129,0.346154,0.639562,17.769231,1.106887,2,0
1573,53,0.353284,0.027256,0.611405,10.084948,0.957285,2,0
1578,53,0.358440,-0.228831,0.705153,9.184630,1.104903,4,0
1583,53,0.363595,-0.484918,0.798902,8.284312,1.252520,2,0
1589,53,0.368750,-0.741006,0.892650,7.383994,1.400138,2,0
1594,53,0.373906,-0.997093,0.986399,6.483676,1.547756,5,0
1599,53,0.379061,-1.253180,1.080147,5.583358,1.695374,2,0
1604,53,0.384216,-1.509267,1.173896,4.683040,1.842992,2,0
1609,53,0.389371,-1.765355,1.267644,3.782722,1.990610,2,0
1615,53,0.394527,-2.021442,1.361393,2.882404,2.138228,2,0
1620,53,0.399682,-2.277529,1.455142,1.982086,2.285846,2,0
1625,53,0.404837,-2.533616,1.548890,1.081768,2.433464,2,0
1630,53,0.409993,-2.789704,1.642639,0.181450,2.581082,2,0
1635,53,0.415148,-3.045791,1.736387,-0.718868,2.728699,2,0
1498,53,0.420303,0.769231,-0.150127,14.677225,25.776607,5,1
1514,53,0.342974,0.807692,0.001454,14.757164,21.741148,5,1
1530,53,0.348129,0.846154,0.153035,14.837104,17.705689,4,1
1546,53,0.353284,0.884615,0.304616,14.917044,13.670230,3,1
1562,53,0.358440,0.923077,0.456196,14.996983,9.634771,5,1
1578,53,0.363595,0.961538,0.607777,15.076923,5.599313,3,1
1594,53,0.923470,1.000000,0.759358,15.156863,1.563854,5,1
1595,53,1.090543,0.788462,0.154393,16.038462,0.459104,5,1
1606,53,1.529303,0.743590,0.053791,16.385621,-2.599452,6,1
1615,53,1.900142,0.657051,-0.172901,16.866390,-5.169556,7,1
1623,53,2.270980,0.570513,-0.399593,17.347159,-7.739660,8,1
1632,53,2.641819,0.483974,-0.626285,17.827929,-10.309764,9,1
1640,53,3.012657,0.397436,-0.852978,18.308698,-12.879869,4,1
1649,53,3.383496,0.310897,-1.079670,18.789467,-15.449973,3,1
1657,53,3.754334,0.224359,-1.306362,19.270236,-18.020077,4,1
1666,53,4.125172,0.137821,-1.533054,19.751006,-20.590181,4,1
